[-176.28886904],[-12.33744496],[-8.54857374]
[-177.30762516],[-11.01893224],[-8.87741169]
[-179.21742289],[-13.00738682],[-10.05374685]
[179.74282101],[-13.88369712],[-9.83810082]
[-176.72511703],[-10.11047272],[-11.13250411]
[-178.84039922],[-11.79532345],[-11.75533788]
[-179.72707918],[-12.1382811],[-11.27964899]
[-179.51691712],[-7.96015042],[-12.26038724]
[-177.45007738],[-11.04160517],[-11.96036959]
[-176.70557436],[-10.70466201],[-11.95086877]
[-176.92998265],[-12.67429317],[-12.26121248]
[-176.9635713],[-12.71658756],[-12.24997857]
[-176.81973068],[-12.25519408],[-12.09870494]
[-174.94280603],[-7.86045937],[-12.6050294]
[-173.30462601],[-8.74643846],[-12.49530242]
[-174.37400282],[-11.32625974],[-11.33978294]
[-170.95219422],[-10.80918189],[-11.54785768]
[-171.26407073],[-9.83130928],[-11.10282108]
[-169.65014131],[-10.95705169],[-10.18177288]
[-168.59541334],[-9.90610981],[-8.12895274]
[-167.82000856],[-10.69257189],[-8.20456216]
[-167.80675756],[-14.98693057],[-6.64045917]
[-167.74612709],[-13.29361586],[-5.93651998]
[-167.25845237],[-9.71334806],[-5.90203945]
[-165.89531403],[-11.17495182],[-3.56868476]
[-163.3679666],[-9.33177296],[-2.23734553]
[-163.64313692],[-12.8500948],[-2.49777129]
[-165.91106254],[-12.06347757],[-0.56535534]
[-168.1139525],[-15.20933438],[0.5995424]
[-157.11954085],[-32.23539761],[178.71404591]
[-163.48230046],[-14.12594387],[2.00765604]
[-163.02536079],[-13.93723465],[2.71938873]
[-162.68566845],[-16.10994673],[3.89463406]
[-161.85280161],[-15.07419563],[4.14886946]
[-160.97834989],[-14.87046767],[3.91973409]
[-157.80607811],[-39.80152934],[-177.99463627]
[-161.2012572],[-13.80828377],[6.14799131]
[-165.02013748],[-17.2508746],[6.05742871]
[-166.23266812],[-18.13431992],[6.64367705]
[-165.77944687],[-20.81648741],[6.61267677]
[-167.47249598],[-21.89214226],[6.54124616]
[-167.55272037],[-21.33232708],[5.81249404]
[-166.57387875],[-19.50825472],[6.21475124]
[-166.91321029],[-20.1206815],[5.61736188]
[-168.37599388],[-19.93415167],[5.37033702]
[-170.50197857],[-21.51578219],[5.22897286]
[-169.14540531],[-20.41005773],[4.78511124]
[-169.8200996],[-18.04252703],[4.17859813]
[-171.0066636],[-18.33213263],[3.05937249]
[-169.99968472],[-14.67356766],[1.51526158]
[-167.91327109],[-8.70219612],[0.99556876]
[-173.2741549],[-18.39769569],[-0.15512675]
[-171.70828562],[-11.28700784],[-0.87467326]
[-169.16279035],[-8.80042392],[-1.97912678]
[-171.76435746],[-13.57576673],[-2.95073519]
[-171.82842661],[-11.97498677],[-2.59099285]
[-176.82706764],[-19.5909432],[-2.92047773]
[-175.3356639],[-18.19284641],[-4.69165098]
[-174.716595],[-16.12323497],[-6.01184292]
[-175.84623882],[-19.50034286],[-6.41893021]
[-177.69102357],[-19.87256261],[-6.94820431]
[-176.53317769],[-16.45596308],[-7.898982]
[-177.46466444],[-17.00628212],[-8.23742592]
[-177.7115681],[-15.3957782],[-8.78463887]
[-177.97157812],[-17.65111213],[-9.3682491]
[-176.83259238],[-15.5447502],[-10.44994278]
[-175.07731711],[-24.65668669],[-9.64060335]
[-177.11851917],[-16.98205165],[-11.2687988]
[-179.48639601],[-15.82080462],[-11.43709606]
[-179.59487188],[-16.08024609],[-11.90738653]
[-179.15438237],[-15.77018017],[-12.47584659]
[-178.79795202],[-15.11149263],[-12.92171964]
[-178.21082577],[-15.50034918],[-13.37177695]
[-177.21689488],[-16.12865989],[-13.51945365]
[-177.68453568],[-17.2199716],[-13.63328801]
[-177.21854163],[-13.98157419],[-14.0609608]
[-176.1669232],[-14.23454819],[-13.85708127]
[-178.54438675],[-15.92350662],[-13.23474078]
[-177.15151932],[-15.92923459],[-13.38056221]
[-178.42357721],[-16.53166743],[-13.14266944]
[-177.8243658],[-14.44397526],[-12.86552385]
[-176.50606639],[-12.48802062],[-13.14758987]
[-175.28578262],[-15.23234164],[-12.77902515]
[-175.98218056],[-15.04237419],[-12.33631532]
[-174.72573617],[-15.26274065],[-12.58499862]
[-176.8584693],[-16.20831362],[-12.20410864]
[-176.24080467],[-21.04875795],[-10.48316338]
[-176.04946781],[-20.21875322],[-10.41839133]
[-176.40901037],[-23.37876101],[-10.08691519]
[-176.06694805],[-21.40376918],[-9.90725686]
[-175.72560663],[-26.99274016],[-8.91154669]
[-175.71102093],[-23.94686338],[-8.98657064]
[-176.1836049],[-25.14623936],[-8.77455301]
[-176.89298165],[-26.3858634],[-7.75177598]
[-177.74783551],[-19.11241584],[-9.00083498]
[-178.18189877],[-20.5054099],[-8.55337198]
[-179.51250011],[-16.94194193],[-7.73250098]
[-179.39528696],[-15.40683532],[-7.67315671]
[-178.67848646],[-16.64949753],[-6.9563753]
[-179.21140963],[-15.74629328],[-7.09144333]
[-178.44882614],[-17.6075914],[-6.92540737]
[-179.72472696],[-16.98768581],[-6.46892859]
[179.25769016],[-14.41141506],[-5.67839009]
[-179.92941187],[-15.27275342],[-6.34633434]
[178.90169809],[-11.81448139],[-6.71925818]
[178.65690639],[-13.3954987],[-7.35821342]
[178.25265411],[-15.09821621],[-7.6289748]
[-179.71015898],[-15.61754026],[-7.80303437]
[178.24614406],[-12.4568476],[-7.67731264]
[-179.80727958],[-13.34975691],[-7.71643507]
[-178.52172876],[-16.09698955],[-8.16833054]
[179.96241622],[-14.10873087],[-7.69470724]
[-177.80743701],[-11.53213183],[-9.47295489]
[-177.85357234],[-13.41146169],[-8.68109936]
[-176.89786078],[-12.28498271],[-9.64465402]
[-175.57542961],[-12.83937258],[-9.56457511]
[-175.63874908],[-12.16929664],[-9.08214594]
[-174.80396707],[-14.39010332],[-9.49357859]
[-173.55507789],[-13.40152116],[-9.86069207]
[-174.16833503],[-10.33128759],[-10.09471257]
[-175.82049295],[-12.64773845],[-9.29656981]
[-176.10718254],[-10.82017822],[-9.44618082]
[-174.78861111],[-10.8605427],[-10.24271116]
[-176.72622426],[-14.78169915],[-8.89752912]
[-175.53272385],[-14.80761034],[-10.13757884]
[-175.71158584],[-16.38582266],[-9.36178788]
[-176.71554252],[-16.65880871],[-9.10617153]
[-177.64448465],[-17.81562295],[-9.47036549]
[-177.37214774],[-18.21603463],[-8.88696117]
[-177.83278051],[-15.7605675],[-10.06001345]
[-178.13301519],[-18.18894622],[-9.55486067]
[-178.69462123],[-19.7755563],[-9.32110698]
[-177.60900552],[-19.24859678],[-9.60528676]
[-178.55280315],[-16.59272287],[-9.17294368]
[-177.59615169],[-23.39425601],[-8.85954926]
[-177.94865813],[-23.05402755],[-8.38711551]
[-177.13036955],[-21.09352528],[-9.8427593]
[-177.44051929],[-13.77708837],[-10.51545842]
[-177.03403665],[-14.34978541],[-10.3883459]
[-177.71193839],[-15.33528698],[-9.92452206]
[-178.30032145],[-15.9973755],[-10.34052227]
[-177.84279556],[-22.70052896],[-9.86379758]
[-177.87096477],[-24.57293761],[-9.135117]
[-176.62525472],[-24.16904004],[-9.33845257]
[-177.1262057],[-23.16979972],[-9.49400582]
[-177.94674603],[-24.18544966],[-9.75880257]
[-178.76453306],[-24.69104692],[-9.26927234]
[-177.90465772],[-23.09212928],[-9.07820064]
[-178.39944571],[-24.01532634],[-9.21504713]
[-176.73617226],[-24.07924546],[-9.80215301]
[-178.0459559],[-22.59774735],[-9.50698759]
[-178.50911602],[-22.74683094],[-9.63011161]
[-177.3734596],[-21.98062802],[-10.29415231]
[-177.88026434],[-21.79113468],[-9.55981451]
[-176.52160974],[-21.15300698],[-9.70975994]
[-177.98417274],[-22.0918189],[-9.43579699]
[-177.72061484],[-23.81518061],[-10.07010635]
[-178.70532387],[-22.36403307],[-10.05376117]
[-178.75318975],[-24.20017059],[-9.97921083]
[-178.54425572],[-23.08264223],[-9.85398274]
[178.34300885],[-14.77538116],[-10.67631244]
[-179.43002999],[-25.21795391],[-9.73777597]
[178.92744008],[-14.89964313],[-11.18758965]
[-177.60805233],[-22.81355432],[-10.02846816]
[-178.15547399],[-23.21102788],[-9.97645535]
[-176.94887296],[-21.8532997],[-10.44638567]
[-176.45903125],[-21.51716984],[-10.05066692]
[-176.48426761],[-21.18680668],[-9.51544276]
[-176.91082148],[-19.83991276],[-10.54524465]
[-178.79930938],[-22.54973785],[-9.45301336]
[-176.74016263],[-22.42303797],[-9.79378071]
[-177.83156498],[-22.19840889],[-9.8940049]
[179.97241344],[-16.98309203],[-10.28117749]
[178.1681912],[-15.461599],[-9.31810621]
[179.42005767],[-14.31396362],[-10.39395504]
[177.07718011],[-14.75588257],[-9.71519575]
[177.84466892],[-16.90779978],[-10.22353356]
[176.94196947],[-15.15217539],[-10.15625327]
[178.13751694],[-12.49199009],[-10.27479247]
[179.54276945],[-12.70022147],[-11.265097]
[-179.52833862],[-14.45938683],[-11.68244974]
[-178.98642061],[-15.53058725],[-11.47840981]
[-178.23347128],[-14.01989185],[-12.0528106]
[-179.85837417],[-14.98950543],[-12.0518518]
[-179.75818526],[-14.13681447],[-12.21699582]
[-178.90908761],[-15.38273836],[-12.95861061]
[-178.31933129],[-21.87337333],[-10.80080259]
[179.71757867],[-13.64605781],[-11.99335514]
[179.40875186],[-12.63009208],[-12.67383877]
[178.00367101],[-10.78985795],[-12.47904475]
[179.76430033],[-9.53827288],[-13.31481597]
[179.37730509],[-11.22022435],[-12.83557204]
[-178.72780846],[-22.50248342],[-11.14025094]
[-179.41248068],[-23.06372615],[-10.69229205]
[-178.57312464],[-22.11729201],[-11.59389788]
[-178.57312464],[-22.11729201],[-11.59389788]
[-177.99524516],[-23.56702856],[-11.00593275]
[-178.34604284],[-22.59672528],[-11.0146666]
[-178.73662248],[-22.37573546],[-11.65430573]
[-177.71396247],[-23.2271896],[-10.95005569]
[-177.09932965],[-25.30798567],[-11.02971384]
[-179.03859799],[-15.56522751],[-11.87655417]
[-178.84349689],[-23.08592817],[-10.87884379]
[178.70305669],[-16.34966035],[-10.75958452]
[179.54404398],[-16.33555403],[-11.02172866]
[-178.20798592],[-20.22116326],[-10.69875628]
[179.78843972],[-15.89578068],[-10.19626214]
[-178.95166009],[-18.72113827],[-10.1948575]
[-179.68506651],[-18.95675547],[-10.14820999]
[-179.50200717],[-16.26394023],[-9.46461288]
[179.62959349],[-18.26087655],[-9.15856594]
