[-176.61313162],[-13.74112243],[0.79331188]
[-176.10502461],[-13.42100243],[1.17568651]
[-176.04983567],[-13.77163839],[0.99477377]
[-177.11145523],[-12.13611324],[0.91106744]
[-175.28578565],[-13.9298869],[1.36704299]
[-175.03882537],[-12.70549357],[0.64805682]
[-174.01135859],[-11.82314136],[0.42050122]
[-174.44735994],[-10.55014103],[0.44295275]
[-171.90302278],[-11.02878544],[0.24768311]
[-173.04822699],[-11.95079861],[0.05611617]
[-171.7036527],[-12.26101956],[0.31894915]
[-170.88900459],[-9.800126],[0.71558687]
[-169.65508002],[-11.061684],[0.32829859]
[-169.70155515],[-10.90603907],[0.45059367]
[-169.33701415],[-11.96154227],[-0.20096504]
[-167.99135286],[-12.80773621],[-1.00855442]
[-167.51612484],[-8.9201159],[-1.83013669]
[-166.7758936],[-11.19056823],[-2.93491385]
[-168.49646941],[-9.62210056],[-3.07915761]
[-166.92025369],[-9.01865759],[-3.7728951]
[-167.78972689],[-7.92160195],[-4.00286334]
[-168.01561929],[-7.78330093],[-4.37771161]
[-167.80877605],[-8.68284671],[-4.95323622]
[-167.53073567],[-7.49939093],[-4.5645271]
[-166.980949],[-10.13137692],[-4.64405202]
[-165.06623187],[-9.59974007],[-5.38438943]
[-167.0506922],[-9.68274092],[-4.75114202]
[-166.29158121],[-8.35193079],[-5.62663446]
[-168.04216173],[-8.8881994],[-5.33369219]
[-169.5015515],[-8.6103444],[-5.74550252]
[-166.82166366],[-5.9560838],[-6.7278289]
[-166.49157027],[-8.30138077],[-6.60660925]
[-167.28961077],[-7.02941762],[-6.42793124]
[-166.35333858],[-6.96768535],[-6.42761405]
[-166.04907129],[-6.80308037],[-5.87846936]
[-165.1825784],[-8.90338567],[-5.46226878]
[-167.58562414],[-11.130367],[-4.89419123]
[-168.91010808],[-10.44449315],[-3.71922785]
[-168.46276793],[-9.91306337],[-3.60099425]
[-166.63390428],[-11.94855061],[-4.46135894]
[-171.7215944],[-12.31735687],[-2.74563879]
[-169.43415877],[-12.65644457],[-3.12249267]
[-169.95632393],[-14.13772714],[-2.01484233]
[-170.63447404],[-14.98096917],[-2.13023482]
[-167.93680334],[-12.22409203],[-2.2483639]
[-164.96564528],[-10.45381028],[-2.4908257]
[-165.37196166],[-11.58791845],[-2.03193952]
[-163.8780647],[-9.27842925],[-2.17170306]
[-165.91029213],[-10.72211513],[-1.12148649]
[-165.22546433],[-10.95598667],[-1.49472125]
[-165.58343303],[-10.99552873],[-1.35261469]
[-165.21484443],[-13.29784876],[-1.28466414]
[-164.68169967],[-13.60403873],[-1.10702403]
[-167.13666317],[-15.01021917],[-1.06048557]
[-167.37422625],[-13.5294464],[-0.97480678]
[-167.13666317],[-15.01021917],[-1.06048557]
[-166.44561282],[-14.26989937],[-0.9390693]
[-166.44561282],[-14.26989937],[-0.9390693]
[-167.66978027],[-15.94861667],[-0.43979894]
[-167.81567581],[-15.14020441],[-0.63515506]
[-167.23354021],[-13.25340832],[-0.55430945]
[-167.11838291],[-14.05031738],[-0.3541389]
[-164.35960914],[-14.28440258],[-1.70864186]
[-166.7263148],[-12.93481245],[-1.11947751]
[-165.99170286],[-13.63902347],[-1.30421778]
[-167.39649704],[-12.78202641],[-1.22389213]
[-168.18396632],[-13.77402232],[-0.8090265]
[-166.60501474],[-10.8543264],[-1.01018777]
[-167.46706366],[-14.40809491],[-0.92302342]
[-169.39125421],[-13.0231467],[-0.64740728]
[-170.25773449],[-14.27381918],[-0.43977995]
[-171.0379349],[-13.28260687],[-0.68583118]
[-169.82204026],[-14.29827971],[-0.85855461]
[-169.82204026],[-14.29827971],[-0.85855461]
[-169.27300971],[-13.89284195],[-1.3404752]
[-169.69181598],[-14.73967546],[-0.88455748]
[-168.73863237],[-13.87680392],[-0.91831372]
[-170.9601158],[-14.66972271],[-0.21746787]
[-169.31644245],[-15.60734099],[-1.04708805]
[-169.9478267],[-14.63898707],[-0.64733217]
[-169.56468231],[-16.7647095],[-0.03161192]
[-169.51657915],[-16.36992159],[-0.61425886]
[-170.80566832],[-12.40635112],[0.01339323]
[-169.38466858],[-13.68785935],[-0.2307163]
[-168.64043935],[-10.71791032],[0.55976428]
[-168.64043935],[-10.71791032],[0.55976428]
[-167.29239814],[-11.67161801],[0.67242891]
[-169.76547117],[-13.0407484],[1.41631876]
[-169.49158955],[-12.47072342],[1.45347706]
[-168.5409431],[-12.69682587],[1.07861815]
[-168.71964742],[-11.4481868],[1.04448349]
[-168.71964742],[-11.4481868],[1.04448349]
[-169.66276118],[-11.7023933],[1.24765566]
[-170.03066277],[-10.95194382],[1.38326907]
[-168.15256651],[-12.17081698],[1.06901772]
[-169.92169267],[-13.55801277],[0.5723714]
[-170.62374331],[-12.33796643],[1.09373676]
[-170.62374331],[-12.33796643],[1.09373676]
[-170.44778915],[-13.59531823],[1.11759444]
[-170.44778915],[-13.59531823],[1.11759444]
[-170.62374331],[-12.33796643],[1.09373676]
[-170.62374331],[-12.33796643],[1.09373676]
[-170.61167832],[-13.7476983],[1.32574529]
[-169.52054471],[-14.0395447],[0.41272269]
[-170.07255039],[-13.80238452],[0.21864623]
[-170.88576071],[-12.23716409],[1.20331758]
[-171.05382291],[-13.10984252],[0.49687881]
[-170.7865259],[-14.17482156],[-0.3370521]
[-170.2318703],[-13.94635115],[0.03877134]
[-170.2318703],[-13.94635115],[0.03877134]
[-171.03789084],[-13.33502739],[0.23197617]
[-169.99764787],[-15.17621823],[0.07150556]
[-170.79772871],[-14.80320823],[0.35112846]
[-170.48404057],[-13.336213],[0.69152173]
[-168.91431855],[-12.73902362],[0.43689467]
[-169.66779332],[-14.1932044],[0.22593646]
[-171.63997147],[-15.2204527],[0.34095978]
[-171.05382291],[-13.10984252],[0.49687881]
[-169.63205789],[-13.99382045],[-0.37485468]
[-169.29007574],[-14.1272656],[-0.34828594]
[-169.52358907],[-12.87522826],[-0.37479312]
[-169.52358907],[-12.87522826],[-0.37479312]
[-168.69682751],[-13.31545502],[-0.2135619]
[-168.67535129],[-12.84483109],[-0.02505203]
[-170.60727573],[-13.92926816],[0.70225334]
[-169.33543672],[-14.05377904],[0.42448441]
[-169.642162],[-13.02004998],[0.25884019]
[-169.89224458],[-14.00505021],[0.15599675]
[-167.44779361],[-12.9399955],[-0.46847933]
[-168.87935598],[-11.58173038],[-0.2075118]
[-169.27624255],[-11.06301541],[-0.32381055]
[-169.69436565],[-13.41992408],[-0.49763404]
[-170.12253369],[-9.9828655],[-0.80178676]
[-170.12253369],[-9.9828655],[-0.80178676]
[-171.01626339],[-11.45740179],[-0.96152545]
[-172.2674398],[-13.31906579],[-1.46376943]
