
[177.67721622],[-21.87194452],[9.0772793]
[177.74631415],[-21.93342629],[8.73652958]
[178.87847032],[-21.38887239],[7.93302605]
[178.56339796],[-21.67150728],[8.71942909]
[179.29793318],[-22.11189487],[8.02472912]
[178.32864202],[-19.95892464],[8.42225944]
[178.84126064],[-21.40488781],[8.60560848]
[176.98460349],[-22.63521836],[8.50142227]
[177.01849759],[-20.19044104],[8.79841061]
[177.06720514],[-21.58777011],[8.5554984]
[179.89525097],[-23.71763453],[7.72999185]
[177.3408372],[-21.80920765],[8.35877717]
[176.62221984],[-21.25142208],[8.48235535]
[176.45261112],[-22.98869028],[9.11721052]
[178.29250335],[-22.05005533],[9.35644529]
[177.28056981],[-22.55740215],[8.64479262]
[177.06149487],[-23.2293216],[8.69459192]
[179.15082969],[-23.33849935],[8.37216384]
[177.06865754],[-19.44702569],[8.46557572]
[178.09292143],[-25.87743062],[8.88974156]
[177.58598327],[-23.26066274],[8.94535093]
[176.3833354],[-23.4948253],[8.31414867]
[179.58960028],[-20.60990832],[8.04519377]
[177.28145503],[-20.25116305],[8.96171321]
[176.73528904],[-21.90271026],[8.93795991]
[178.46488164],[-21.36389144],[10.00616027]
[177.79555956],[-20.19814698],[8.28513318]
[177.74899068],[-21.62530487],[8.8110773]
[177.70210296],[-22.34841502],[8.37574955]
[177.95951883],[-23.38369976],[8.4646364]
[176.53117678],[-21.72394396],[9.51427331]
[178.08013566],[-21.98812664],[7.80988525]
[176.85824827],[-23.62129467],[9.03432137]
[178.73466293],[-22.59571171],[8.76029273]
[177.84474052],[-21.4097779],[8.2164532]
[177.22996243],[-22.32660934],[9.14735395]
[177.46602968],[-21.82602225],[9.34864852]
[178.25698805],[-23.75952947],[9.39759711]
[177.63891689],[-22.31337281],[8.43687879]
[177.01136413],[-22.46671256],[9.4874207]
[178.62492859],[-20.53913648],[7.941499]
[176.4842604],[-24.02127855],[9.32939816]
[176.70682702],[-27.96720512],[9.74855504]
[174.43387327],[-27.74268617],[10.04555313]
[175.14504628],[-25.42452763],[9.9774393]
[174.17431985],[-27.79606646],[9.18146923]
[173.3662184],[-25.89365327],[9.04354467]
[174.48443831],[-26.4249341],[8.2972238]
[174.42529587],[-25.71042078],[8.57291365]
[173.65428196],[-25.86018223],[7.83983148]
[174.10664142],[-24.71795673],[6.95133087]
[174.66625864],[-24.49478401],[7.3111136]
[175.03172767],[-24.64507818],[7.48498994]
[175.66900086],[-23.12649687],[7.14504528]
[174.88216867],[-20.75963736],[7.17837991]
[175.90928184],[-23.21220361],[6.97527325]
[176.76974977],[-22.18172794],[6.80989522]
