9000,8868,0.985333333
[-178.70919522],[-27.02307002],[1.11459045]
[-179.31980568],[-27.91272704],[0.64379366]
[-178.9778409],[-26.13552194],[1.09445665]
[-179.20463313],[-26.47719151],[0.71164931]
[-179.20463313],[-26.47719151],[0.71164931]
[179.12676819],[-25.08534269],[1.65717978]
[179.83039716],[-25.09880611],[1.44303233]
[-178.70443389],[-25.49241213],[1.26801575]
[-179.55340919],[-25.49742433],[1.38125903]
[-179.55818163],[-24.93799121],[1.86420144]
[179.68778277],[-24.857489],[1.96444743]
[-179.03090665],[-26.86331161],[2.24709593]
[179.50202186],[-27.53885898],[2.23733219]
[179.54354272],[-24.94100342],[2.14609422]
[177.67695489],[-26.25617978],[2.5289582]
[178.80847539],[-25.39554503],[1.82202336]
[177.46872656],[-26.12217421],[2.7615521]
[177.80690021],[-24.80195224],[2.05371469]
[178.23254219],[-23.94474425],[2.61947503]
[178.58141432],[-22.93003394],[2.88047951]
[179.58386633],[-24.67055419],[2.65397653]
[-179.85243872],[-26.15008362],[2.51264841]
[-178.34513163],[-26.96075429],[2.2860353]
[-176.90615412],[-25.79981184],[2.32490442]
[-175.74997188],[-27.11362409],[1.68380999]
[-175.91396405],[-26.45756884],[2.22451861]
[-176.67975457],[-25.65982131],[2.10640651]
[-175.77291799],[-26.66185029],[2.51615773]
[-176.4231382],[-26.37360221],[2.69762492]
[-176.69455961],[-27.60611349],[2.01978266]
[-176.37110838],[-27.20049224],[1.70248759]
[-176.77902087],[-26.94084031],[2.39507895]
[-177.9267357],[-26.912747],[2.24950276]
[-178.71071836],[-28.94275324],[1.78547504]
[-178.27887044],[-28.38978948],[0.67065888]
[-178.89037985],[-27.76367344],[0.61171547]
[179.8893291],[-31.52454347],[0.07681993]
[179.9024034],[-31.82764184],[0.36037147]
[178.46902676],[-33.53582156],[-0.51573968]
[176.44305565],[-32.2189904],[0.49335235]
[175.82707926],[-32.5112258],[0.10806206]
[176.48309369],[-33.54229651],[-0.13403267]
[175.58362816],[-34.60344143],[-0.09122464]
[175.13956389],[-33.31262416],[0.2143688]
[175.25256161],[-34.09930227],[-0.78304739]
[173.63712083],[-34.33376402],[-0.28879789]
[173.64795167],[-35.28667336],[0.70888605]
[173.66991136],[-35.88382112],[0.16270045]
[172.73257165],[-35.10190116],[0.67803598]
[174.06087811],[-36.09525386],[-0.4985981]
[174.72163655],[-34.17554718],[-0.41235771]
[175.51705198],[-35.33870594],[-0.35560509]
[177.53115286],[-35.69734149],[-1.03839596]
[175.54259174],[-34.26251784],[0.37338029]
[175.37830606],[-33.40606986],[1.03315084]
[176.33134651],[-33.76031944],[0.67948059]
[177.57527668],[-33.97447263],[0.12846046]
[175.90468725],[-33.80062959],[0.79336528]
[177.00436246],[-35.1308838],[0.08796386]
[177.32947681],[-35.15354104],[0.23111232]
[177.18017982],[-37.1277271],[1.23667482]
[177.60710642],[-35.93656878],[0.9349822]
[178.07485955],[-37.45122596],[0.73674144]
[177.98601881],[-36.4757148],[1.02349946]
[168.76008519],[-56.53482215],[-173.12220923]
[178.05373138],[-35.60456653],[1.33592507]
[-179.66868734],[-35.1922035],[0.05410243]
[-179.51469661],[-32.55221382],[0.92332458]
[-178.16100458],[-32.53367232],[0.82124176]
[-178.76070579],[-30.45592201],[0.87760743]
[-177.91455909],[-27.80887065],[0.25116664]
[-178.85284113],[-26.15557629],[0.10765757]
[-179.36833298],[-27.91290539],[-0.04018188]
[-176.25618175],[-29.03714226],[-1.19655853]
[-176.36147],[-28.35202504],[-0.84844386]
[-176.14142409],[-27.21121955],[-0.2568902]
[-177.85316815],[-26.74751991],[-1.10039129]
[-177.36987854],[-26.55986762],[-1.71138471]
[-176.64426289],[-27.28099991],[-1.59898735]
[-176.22201405],[-25.44535836],[-1.33170233]
[-175.90331785],[-24.65030837],[-1.90290303]
[-175.60306017],[-24.93012525],[-2.68515535]
[-176.95246109],[-23.78722345],[-2.67652649]
[-177.85621291],[-22.73901428],[-2.90121052]
[179.90602018],[-23.99136931],[-2.04410921]
[-178.70110041],[-21.52448424],[-2.68068388]
[-178.56009996],[-23.29852125],[-2.10730987]
[179.79508047],[-20.70333059],[-1.90066777]
[-179.13620565],[-21.72493533],[-2.4963617]
[-177.86991336],[-25.29880971],[-1.6632331]
[-178.97193982],[-23.08537027],[-2.03142733]
[-179.27708131],[-24.94426151],[-1.68170516]
[-179.50136121],[-24.88347432],[-0.57809583]
[-179.04570757],[-23.27270705],[-0.52997408]
[-179.28151174],[-25.27583352],[-1.04813506]
[-179.72011904],[-23.83375698],[-0.41372652]
[179.71340822],[-22.60441636],[-0.0491325]
[-177.96488474],[-24.88704262],[-0.46602591]
[-178.62500954],[-22.94866932],[-0.00176516]
[-178.8890426],[-23.5228314],[0.65386611]
[-177.72366419],[-26.64941473],[0.97280064]
[-177.55643883],[-25.56465565],[1.07655881]
[-177.82821458],[-26.05592516],[1.00218637]
[-176.9316248],[-25.33211505],[1.22333779]
[-177.10315508],[-26.40113424],[1.11657567]
[-178.0263124],[-24.55644713],[1.73557382]
[-178.31890018],[-27.47647027],[1.71550824]
[-177.88494286],[-29.23616021],[1.75028566]
[-177.62964701],[-29.45346199],[1.74798315]
[-178.27208288],[-27.44006447],[1.68923916]
[-178.16874197],[-27.15068037],[1.75442571]
[-178.62228512],[-25.2868838],[1.71281862]
[-177.01363175],[-25.94244743],[0.829199]
[-178.04517739],[-25.69856067],[0.53956325]
[-178.92755531],[-24.31076164],[0.92620712]
[-178.37596568],[-25.1006807],[0.91916741]
[-178.9915836],[-25.75177525],[0.85845207]
[-178.01132305],[-24.4257022],[0.60332147]
[-178.69961529],[-25.55916116],[-0.13004349]
[-179.43237158],[-26.62851309],[-0.15248757]
[-176.99609413],[-25.278919],[-0.4510687]
[-178.00811448],[-26.17908536],[-0.72638111]
[-176.60531522],[-25.84027387],[-1.09563755]
[-177.51721434],[-24.4970553],[-1.2196856]
[-178.53913748],[-25.6735942],[-1.1186538]
[-178.055689],[-25.51412383],[-0.98840696]
[-178.37434828],[-25.44817742],[-1.09086783]
[-179.49626098],[-23.75912693],[-1.12767356]
[-178.11347118],[-23.30646706],[-2.00259372]
[-177.90604723],[-21.81094867],[-2.06138667]
[-179.4023471],[-24.11868401],[-1.87539801]
[179.7381856],[-23.55472724],[-1.13004682]
[-179.65383488],[-24.96017707],[-1.30000556]
[179.98539912],[-25.01958759],[-1.7705055]
[179.9721152],[-24.11696638],[-1.688802]
[-179.89457245],[-23.75480196],[-1.58874128]
[-179.00734009],[-25.13259767],[-1.47405532]
[179.79931],[-24.65546996],[-1.20113932]
[179.77436104],[-22.91919727],[-0.60495465]
[179.68482843],[-22.65045434],[-0.70204361]
[179.34845897],[-23.27041777],[-1.07507752]
[179.10384742],[-22.97157479],[-1.14285023]
[-179.19576889],[-24.93496949],[-2.07143696]
[-179.86285938],[-22.60798255],[-1.66874384]
[178.92554879],[-23.51692123],[-1.2351004]
[179.8342031],[-23.81618117],[-1.75227419]
[178.73724054],[-24.07695874],[-1.69438456]
[179.55179283],[-23.61366785],[-1.39074612]
[179.02839001],[-23.50334127],[-1.1306513]
[179.09426012],[-23.84478108],[-1.52925989]
[179.07678278],[-24.45494192],[-1.03996658]
[179.488249],[-24.10561776],[-1.03756276]
[178.08816732],[-24.44574976],[-1.34395406]
[178.60256025],[-23.88873424],[-1.12620224]
[178.31638063],[-24.04995251],[-0.97421339]
[178.37318424],[-23.74739808],[-0.89041117]
[179.19464138],[-25.32987046],[-1.14372914]
[178.55820146],[-24.99963759],[-1.25799957]
[178.95807885],[-25.17757762],[-0.90104209]
[178.73132917],[-24.75545009],[-1.22829535]
[179.01711426],[-24.7616142],[-1.12447251]
[178.42462267],[-23.85467028],[-1.2588294]
[178.28875347],[-23.47885444],[-1.04152189]
[178.73132917],[-24.75545009],[-1.22829535]
[179.76665108],[-24.10973564],[-1.83715414]
[178.55672931],[-22.88848258],[-1.35491291]
[179.09125087],[-23.96334709],[-1.55512525]
[178.90404442],[-23.38234936],[-1.53881163]
[178.50198649],[-24.18970032],[-1.18789481]
[178.78701826],[-24.18186918],[-1.08166218]
[178.78701826],[-24.18186918],[-1.08166218]
[178.31012767],[-23.61580375],[-1.17136419]
[178.50198649],[-24.18970032],[-1.18789481]
[178.77156287],[-23.35601736],[-1.03305502]
[179.24866496],[-23.94000105],[-0.94254048]
[179.69478064],[-23.91404087],[-1.27291751]
[179.49234392],[-24.22783092],[-0.87960521]
[178.96049211],[-23.94281789],[-1.05203839]
[179.43055728],[-24.53101936],[-0.96398858]
[178.65969065],[-23.83641029],[-1.12957868]
[179.20168102],[-24.2194367],[-0.98733583]
[179.65025171],[-24.40625993],[-0.80270965]
[179.00068456],[-24.57848204],[-0.79385993]
[178.93986528],[-25.6991305],[-0.6377085]
[178.6968201],[-23.21427397],[-0.87730619]
[179.02096988],[-24.17006036],[-0.84846636]
[179.74340303],[-23.21427456],[-0.53693629]
[179.02096988],[-24.17006036],[-0.84846636]
[179.45616838],[-25.15682289],[-0.97913665]
[179.13302286],[-24.48987033],[-1.19900431]
[179.4404708],[-23.19479763],[-1.09619806]
[178.91557955],[-23.94154155],[-1.02884474]
[179.40867218],[-23.10159313],[-0.88501358]
[179.28478021],[-23.56371903],[-1.15948357]
[179.28478021],[-23.56371903],[-1.15948357]
[179.75144111],[-24.15318802],[-1.06849193]
[179.92989641],[-24.19574651],[-1.20776377]
[179.65759825],[-22.69334282],[-0.51385181]
[179.03259772],[-23.89031371],[-0.68978328]
[179.55386259],[-25.10349221],[-0.62987726]
[179.00037157],[-24.08980786],[-0.00228877]
[179.02776027],[-22.22152357],[0.14189774]
[179.16656213],[-23.44828352],[-0.13787678]
[178.69051487],[-22.59438338],[0.24556536]
[178.86421163],[-23.50131309],[-0.00229408]
[177.37282551],[-24.38176767],[0.46389489]
[179.11621763],[-22.22547387],[0.09864561]
[178.51907322],[-22.44225411],[0.45519036]
[178.82222575],[-22.87830979],[0.47040095]
[177.49289219],[-23.08186128],[1.04199546]
[178.73982653],[-22.14995481],[0.90981846]
[177.25803131],[-23.55940039],[1.7873614]
[179.59050356],[-24.98303789],[1.83291907]
[178.65643069],[-23.68425542],[1.69400446]
[178.13301492],[-24.23063817],[1.47823169]
[179.0012176],[-23.33365397],[1.69484725]
[177.34678926],[-24.08048069],[2.55168236]
[178.85317259],[-25.86586855],[2.32862089]
[178.38579232],[-26.07120835],[2.19726018]
[178.4506731],[-25.75742661],[2.27064957]
[177.57700837],[-25.05076572],[2.59332684]
[177.70116271],[-24.29908119],[2.1231883]
[176.89224262],[-24.86721113],[2.10994369]
[177.90485256],[-24.76182003],[1.8146761]
[178.13981694],[-24.89618278],[1.45762424]
[178.0122407],[-24.85118552],[1.95403957]
[178.21208926],[-24.19442034],[1.43598764]
[179.02762072],[-24.16338842],[0.83602888]
[178.27115171],[-24.62026436],[1.18463952]
[178.00301483],[-25.42702533],[1.02117734]
[177.99013138],[-24.61791288],[1.05822148]
[178.75954961],[-24.33060304],[0.92300655]
[179.06658445],[-26.5169986],[0.59527406]
[178.29688937],[-23.77118576],[0.82559119]
[178.31339227],[-25.91023137],[0.43940059]
[179.40843678],[-26.01132438],[0.20237254]
[178.08082081],[-25.68204504],[0.78085302]
[178.69382523],[-25.43514654],[0.90576252]
[178.53151275],[-25.69600945],[0.84525749]
[178.33631826],[-24.83030951],[0.79308489]
[177.6230818],[-26.15664133],[1.05670667]
[178.19148231],[-25.97105573],[0.69203701]
[177.35510843],[-24.64848379],[1.14950566]
[176.93672731],[-25.99702966],[0.99094024]
[177.58264851],[-23.88285326],[1.60072368]
[177.30395758],[-25.02656948],[1.34699655]
[177.82951781],[-23.44889477],[1.34238803]
[177.96436045],[-24.38110249],[1.55800356]
[177.3037028],[-26.44060623],[1.77329875]
[177.00956778],[-25.81808551],[1.66743132]
[177.56151037],[-24.85972795],[1.6838661]
[177.77173296],[-26.98514606],[1.86638157]
[178.01684716],[-24.58357152],[1.81981869]
[177.91318562],[-26.11372338],[1.78780789]
[177.22808203],[-25.44421899],[2.23361122]
[178.81309155],[-24.11874462],[2.11311561]
[177.92424471],[-25.66095082],[2.81172938]
[177.69617428],[-26.81665706],[2.71775924]
[177.29455368],[-25.89336129],[2.69174144]
[177.10410277],[-25.86810999],[2.10595456]
[178.5197824],[-27.57124366],[2.02571843]
[178.2875148],[-24.89036212],[2.51095515]
[178.06073456],[-26.06997986],[2.41002003]
[177.33811026],[-25.88372878],[2.26186228]
[178.18470026],[-25.19837931],[2.46053028]
[179.62444558],[-26.82988847],[1.50484958]
[179.78353824],[-27.31436964],[1.75308217]
[-178.36640166],[-25.39050765],[1.10547121]
[-177.58198922],[-23.64687595],[1.09751222]
[-178.06666779],[-27.18632763],[1.19204527]
[-178.13227815],[-25.968703],[1.77816149]
[-178.43153765],[-26.22223424],[1.69262494]
[-177.82502474],[-23.19233433],[1.55471928]
[-178.33264974],[-25.02354605],[1.71628053]
[-179.6952375],[-24.20891195],[2.05589597]
[179.57690348],[-24.67648821],[2.36242376]
[178.77114332],[-24.00862924],[1.8319928]
[-179.6643975],[-25.04341425],[1.99404305]
[179.88180729],[-25.03210201],[1.85709206]
[179.51031796],[-26.14732815],[1.93710214]
[-179.63261578],[-24.74476311],[2.09078059]
[-179.45683376],[-22.96465351],[2.17629548]
[-178.74832457],[-26.57792175],[1.78753199]
[-178.97371184],[-26.40624692],[2.13388064]
[-178.97371184],[-26.40624692],[2.13388064]
[-179.44028677],[-26.54932141],[2.00443465]
[-179.81423129],[-27.0546847],[2.39294579]
[-179.06399613],[-25.84055928],[2.1484244]
[-179.67591519],[-25.96567689],[2.5182759]
[179.83032261],[-25.62760779],[2.3691183]
[179.80703569],[-26.25224357],[2.46597804]
[179.42919994],[-26.66588987],[2.14024949]
[-179.54427942],[-29.26739603],[1.93656118]
[-179.2085041],[-28.35571162],[2.04410171]
[179.3265845],[-28.57138965],[2.93530929]
[-179.96295805],[-29.250909],[3.08150355]
[-179.31504312],[-27.39694015],[2.9486933]
[179.3265845],[-28.57138965],[2.93530929]
[-179.82865617],[-29.27051989],[2.58556443]
[-179.37086083],[-29.14828715],[2.70342481]
[-179.31504312],[-27.39694015],[2.9486933]
[-179.64521066],[-27.84804592],[2.8919254]
[-178.87653963],[-29.17579294],[2.99269263]
[-179.64521066],[-27.84804592],[2.8919254]
[-179.03751212],[-27.39210471],[2.31136427]
[-179.96295805],[-29.250909],[3.08150355]
[-179.4275042],[-28.20223488],[2.54097228]
[-179.03751212],[-27.39210471],[2.31136427]
[179.17454444],[-27.31755239],[2.61538344]
[-179.70853748],[-27.94473092],[2.88799094]
[-179.63281075],[-28.2424086],[3.11009744]
[179.42000496],[-26.69745009],[3.18424941]
[-178.57858862],[-27.81059022],[2.50229805]
[-179.45599574],[-27.39404845],[3.06889113]
[-178.70337918],[-26.40278172],[3.05950965]
[-178.1574977],[-25.06423081],[2.42704276]
[-178.47204624],[-26.04338585],[2.39422909]
[-178.74751473],[-24.48529296],[3.18609049]
[-179.23221488],[-26.66137492],[3.13832394]
[-179.09346445],[-24.79665303],[2.76800976]
[-179.00231994],[-27.06141633],[2.25289296]
[-179.62180562],[-29.1383329],[1.75178915]
[-178.20135898],[-30.89225559],[1.25857518]
[-178.55988084],[-29.85557404],[1.58506521]
[-177.62835427],[-28.79641798],[0.73060674]
[-178.83033625],[-28.6691753],[0.89927886]
[-177.68505249],[-30.50503899],[0.45342855]
[-178.95634097],[-30.24341162],[1.25521939]
[-178.99321452],[-29.99530726],[0.81851924]
[179.37488329],[-30.72931116],[1.13124801]
[-179.73720269],[-31.83722514],[1.1901978]
[-179.53356188],[-31.53889053],[0.90874577]
[179.31671214],[-30.58459093],[0.85093574]
[179.21444966],[-31.34594672],[0.8977039]
[178.98128669],[-32.47361339],[1.14635189]
[179.54142456],[-32.48188008],[0.94819785]
[179.07241203],[-30.8773303],[0.92911636]
[178.83768483],[-31.88235193],[0.82748968]
[178.78785649],[-30.57844973],[0.7330038]
[178.57410073],[-30.09575706],[1.08509123]
[179.37446965],[-30.84438703],[0.7008293]
[178.3468207],[-31.1292152],[0.98238405]
[178.97511026],[-31.16431536],[0.36603803]
[178.46221374],[-31.81867437],[1.00865962]
[179.92681939],[-32.71389414],[-0.03571575]
[178.99443581],[-30.93182689],[0.25810496]
[179.46164951],[-33.36184534],[0.99998665]
[179.1457634],[-31.9709504],[1.19976195]
[177.83997866],[-30.81502],[1.30177145]
[178.53925867],[-31.28202827],[1.13898559]
[178.89151401],[-31.5711122],[1.00982254]
[179.55392997],[-29.903245],[0.6331372]
[178.59964572],[-29.00655056],[0.95176118]
[179.1742059],[-30.10251261],[0.88112741]
[178.90906281],[-29.31662399],[0.85881535]
[179.02516068],[-30.03484286],[0.88704337]
[179.9220825],[-30.48671626],[1.07288319]
[179.39302483],[-31.07130316],[-0.00185254]
[179.29402705],[-30.91996217],[0.56700474]
[179.69159277],[-29.72908576],[0.18932584]
[178.85142594],[-30.33717429],[0.49778514]
[179.71812336],[-31.40834129],[0.58802887]
[179.17058368],[-30.50924788],[0.85639798]
[178.90906281],[-29.31662399],[0.85881535]
[179.55162104],[-28.98572992],[0.17432458]
[178.90906281],[-29.31662399],[0.85881535]
[-179.77212198],[-29.03062175],[0.33736141]
[179.45576884],[-28.39830626],[0.54251417]
[179.318176],[-30.94400434],[0.41958539]
[178.81919987],[-30.0914975],[0.35446144]
[179.53022418],[-28.12327026],[0.61458426]
[179.39872752],[-27.08659435],[1.05440895]
[179.1756313],[-28.92061601],[0.84239736]
[179.54444932],[-30.70413491],[0.48356994]
[179.80638044],[-28.93043195],[0.63220637]
[179.83152133],[-30.73372594],[0.53740369]
[179.80638044],[-28.93043195],[0.63220637]
[-179.72033578],[-31.12623934],[0.56103317]
[179.22867491],[-28.96966751],[0.73644685]
[179.23002428],[-27.48226847],[0.82717552]
[179.50925685],[-29.7336861],[0.75433727]
[179.92904032],[-28.68756703],[0.72148]
[179.20284595],[-28.68500227],[0.87215259]
[179.10608331],[-29.41043833],[1.02639355]
[179.83810811],[-28.54510288],[0.73357711]
[-179.89502663],[-26.40539737],[0.89238938]
[179.33169765],[-27.38703379],[0.69380929]
[179.89710817],[-27.37862054],[0.82109125]
[-179.17591627],[-27.3256814],[1.25178176]
[-179.52982705],[-27.01156255],[0.73868873]
[-179.79075189],[-28.079422],[0.62976691]
[-179.21584598],[-29.2455692],[1.18589407]
[-179.43616942],[-26.71630692],[1.3137128]
[-178.96670887],[-26.572906],[1.44017563]
[-179.31123821],[-27.89378428],[1.73235224]
[-179.2579124],[-27.81607877],[2.12008132]
[-179.05438011],[-26.55063964],[2.06563968]
[-179.05438011],[-26.55063964],[2.06563968]
[-179.22782195],[-27.36139387],[2.02155112]
[-179.43075635],[-27.05430078],[2.45316814]
[-179.43075635],[-27.05430078],[2.45316814]
[-179.86724616],[-27.67054076],[2.68214012]
[179.51670237],[-26.27875252],[2.95954572]
[178.90115174],[-25.89338931],[2.86665424]
[178.78802822],[-25.57260839],[2.7883175]
[179.15674177],[-27.29343201],[2.86899112]
[179.35929452],[-28.21488591],[2.89726964]
[179.24787513],[-27.626294],[3.38539794]
[179.42713094],[-27.44307284],[3.44617299]
[178.78160295],[-27.7864391],[3.26657422]
[179.59256918],[-26.66103965],[2.97414782]
[179.7646242],[-26.31415113],[2.76201689]
[179.39478482],[-28.85977534],[2.99872696]
[-179.5124664],[-26.57049584],[2.83272188]
[179.41343076],[-26.8326117],[3.38745124]
[179.54242514],[-28.7686557],[2.8311725]
[178.74421263],[-27.74791963],[3.5615396]
[-179.40614811],[-29.37900238],[2.61033329]
[-179.9930899],[-28.99327015],[2.5315758]
[-179.70847292],[-29.60100897],[2.61346722]
[178.77124732],[-27.35596642],[2.61217145]
[-179.56735377],[-27.74241307],[2.70186238]
[179.90144311],[-27.55050121],[2.64052696]
[179.26864182],[-26.38576344],[2.45034521]
[-179.93691258],[-27.26441144],[2.77051118]
[-179.00940416],[-27.97642942],[1.92975172]
[-179.74113212],[-27.56507243],[2.3441951]
[-179.60789643],[-28.09696546],[2.30604395]
[179.96944931],[-29.66017767],[2.69452114]
[-179.40467008],[-27.641343],[2.80474188]
[-179.18960434],[-29.1230184],[2.66499919]
[-178.71701677],[-25.54501793],[3.36584639]
[-177.18424509],[-22.40757599],[2.82749273]
[-177.03151662],[-23.68314726],[3.33148085]
[-178.78183577],[-21.26419193],[3.90719766]
[-177.15856466],[-15.24110162],[4.1676651]
[-174.67859561],[21.52039415],[3.74829837]
[-177.43989688],[-15.43972808],[4.02629819]
[-174.89683134],[29.94852583],[4.49894271]
[-174.6572293],[29.39067115],[4.22520113]
[-178.66311795],[-13.76850738],[4.06041563]
[-175.3758756],[31.844616],[3.67236623]
[-176.06146136],[28.52318787],[3.25240477]
[-174.64830834],[33.65133475],[4.24274528]
[-175.58079689],[31.52196342],[3.57516358]
[-175.37766086],[31.23823805],[3.93611632]
[-175.15122946],[33.29809672],[3.52907883]
[-174.62271778],[5.15611495],[3.06486098]
[-174.6226805],[30.71301729],[3.51044135]
[-175.27434889],[32.41663562],[3.38958896]
[-176.01080882],[31.45967346],[3.41749497]
[-174.36612361],[32.85179197],[3.77419252]
[-175.4893261],[29.72021876],[2.94967779]
[-174.5034078],[30.61923018],[3.42516781]
[-174.42538596],[31.4919993],[3.52003535]
[-175.28312784],[29.60417104],[3.30950525]
[-178.26047745],[25.81157435],[2.78683122]
[-175.5026588],[31.11575292],[3.86137894]
[-175.70268976],[30.37052589],[2.95674582]
[-175.35397176],[31.80653212],[3.07929609]
[-174.37917013],[32.00245039],[3.4250325]
[-175.40923691],[31.90372582],[3.18991956]
[-174.37939131],[32.69328947],[3.70194606]
[-174.34679554],[36.02020689],[3.726059]
[-174.90721773],[32.05902988],[3.38439113]
[-173.99830234],[36.17842187],[3.89919769]
[-174.63517868],[34.2364343],[3.73209343]
[-174.77133541],[35.14826097],[3.92480571]
[-173.04262141],[37.08212526],[4.56265351]
[-175.00585305],[37.60323293],[4.64860325]
[-174.34483456],[35.14383328],[4.54092772]
[-174.4781592],[39.28706624],[4.16317088]
[-173.86445083],[37.22322804],[4.84994634]
[-173.83530695],[36.93653453],[4.79708314]
[-175.43868254],[37.11274451],[4.17587522]
[-173.98113742],[37.80494818],[4.27252212]
[-173.23971663],[39.50170349],[4.65613128]
[-174.7234252],[33.80828609],[4.59406406]
[-174.5741759],[38.96273898],[5.09064686]
[-173.90185662],[38.88779012],[5.01493223]
[-173.90185662],[38.88779012],[5.01493223]
[-173.82728968],[38.42374377],[4.5405676]
[-174.42218015],[38.64145245],[4.66752884]
[-173.97521737],[37.58948061],[4.50411098]
[-173.49704088],[39.0006804],[4.61728947]
[-173.38954679],[39.98771881],[4.77805155]
[-173.02714467],[39.89049195],[4.57701737]
[-173.7707835],[38.67060994],[4.3454252]
[-173.97521737],[37.58948061],[4.50411098]
[-174.34707794],[38.97024486],[4.36825406]
[-174.8402651],[38.39720757],[3.4630988]
[-174.91437579],[39.34118263],[3.77185538]
[-173.89081499],[39.26986246],[3.70609545]
[-175.85197691],[38.27477345],[3.46134263]
[-175.55067416],[39.10886522],[3.56432198]
[-175.76075916],[41.03634422],[3.44736267]
[-175.89191352],[38.58792669],[2.71737422]
[-176.96015402],[37.00113391],[2.71009175]
[-176.15266747],[37.36008996],[3.02645176]
[-176.15266747],[37.36008996],[3.02645176]
[-176.77539138],[38.44097291],[2.89829123]
[-175.87292599],[40.54921969],[2.83493532]
[-175.99817366],[37.5093593],[2.24049524]
[-175.95541336],[38.8035861],[2.48727883]
[-176.64518639],[35.8171536],[1.83549321]
[-178.86356609],[36.61949539],[1.36839865]
[-178.88248082],[34.09110018],[2.25589019]
[-177.80051254],[36.376259],[2.07836738]
[-176.00912314],[35.73333939],[2.08465349]
[-175.94249098],[36.34898471],[2.36708358]
[-174.65617191],[36.67039555],[3.41964896]
[-174.70767588],[34.16620678],[2.57562377]
[-175.61274303],[34.56070368],[3.24225711]
[-173.53094217],[39.23444329],[3.22205501]
[-173.91129727],[37.04048473],[3.65549242]
[-175.37785773],[34.79045435],[3.03133201]
[-175.49443852],[34.89290961],[3.18098781]
[-174.08379477],[35.16192764],[3.38098945]
[-174.08379477],[35.16192764],[3.38098945]
[-173.54191683],[36.92900408],[4.14489036]
[-174.27642522],[35.95548982],[3.62738685]
[-173.77928962],[35.63514695],[4.36310758]
[-174.27371224],[32.41431082],[3.73988722]
[-174.66454243],[31.75349111],[3.80023891]
[-174.17476842],[33.58078128],[3.87938498]
[-174.7266755],[31.84121304],[3.9093027]
[-174.48692071],[31.61671187],[3.63021782]
[-174.66454243],[31.75349111],[3.80023891]
[-174.90045626],[31.33958641],[3.83171033]
[-174.06543327],[33.55594742],[3.93674453]
[-175.67947569],[31.77133321],[4.36155818]
[-177.03121151],[31.69129571],[3.78891447]
[-175.4045514],[32.44873217],[4.18005566]
[-176.80687568],[28.29952938],[3.43819498]
[-174.39254616],[33.54211095],[3.84196949]
[-176.07242939],[31.01821933],[3.53226563]
[-176.35731687],[31.59071819],[3.91619082]
[-176.65096808],[32.61098882],[3.84150303]
[-177.60450045],[30.23449666],[3.18791763]
[-177.34867079],[28.37803709],[2.63241008]
[-177.0049227],[28.86863995],[3.49041074]
[-175.38258037],[32.60787722],[3.52461373]
[-175.1673735],[32.27214047],[3.89063175]
[-176.50409132],[32.06189348],[3.76636807]
[-174.65196371],[36.8913148],[4.28645737]
