[178.15614347],[-10.16727977],[1.46242015]
[175.82174724],[-11.58036709],[1.82042659]
[173.13543716],[-13.1602046],[2.76512232]
[170.29843112],[-12.9708505],[2.49464208]
[167.11904242],[-12.6613798],[2.33823866]
[165.65080978],[-16.77886986],[2.82784939]
[165.01853517],[-14.97238249],[2.94169677]
[164.13607444],[-15.3647173],[3.5826806]
[163.49937733],[-14.83410093],[3.33544483]
[163.4176485],[-11.25056497],[2.65593175]
[163.33344557],[-12.05117154],[2.96187165]
[163.42878425],[-10.71339846],[2.41600599]
[164.53626292],[-9.54305766],[1.78499492]
[164.48520266],[-12.04361315],[2.19190675]
[166.12012704],[-9.28619062],[1.52709412]
[166.58064883],[-11.29598963],[1.98100705]
[167.1549182],[-8.70163873],[1.97401041]
[171.47621557],[-9.89343936],[2.05607081]
[171.2941141],[-7.77173108],[2.35220921]
[173.06275805],[-6.64369902],[2.54576133]
[174.13530521],[-5.95340711],[3.50498541]
[176.60101151],[-4.77968046],[3.75717168]
[177.04246851],[-1.86506422],[4.19806716]
[175.79364363],[-1.09038761],[5.23745921]
[178.18536173],[-2.88516824],[5.24256205]
[178.79061476],[-5.68571961],[5.7978357]
[-179.42071082],[-4.49320788],[5.53320353]
[178.80313872],[-1.73128427],[6.26084118]
[-179.01009846],[-5.09276404],[6.28984183]
[-179.87801514],[-4.20967721],[6.01673631]
[-179.60199412],[-3.64724498],[6.17516782]
[-177.70572507],[-4.02233093],[5.59579958]
[-178.15714712],[-6.35479282],[5.45452052]
[-178.45390093],[-6.41159091],[5.50913194]
[-179.24387032],[-4.02003199],[4.05354486]
[-178.85330132],[-6.47166197],[4.07341366]
[-178.97198153],[-4.05545076],[2.79936621]
[-179.68508658],[-4.62821339],[2.11252244]
[-177.48894059],[-3.72264866],[1.89449076]
[-177.38222113],[-4.60421189],[1.4264457]
[-176.9125839],[-3.24751493],[0.15752355]
[-178.70020886],[-0.47901849],[-0.25311688]
[-178.15749321],[-2.59917576],[-0.9783383]
[-176.70490881],[-4.56627081],[-2.01118714]
[-179.09996242],[-1.78208667],[-1.6276099]
[-175.94352518],[-4.60051612],[-2.48200836]
[-177.32044896],[-4.14488695],[-2.35503197]
[-177.55620268],[-0.99460282],[-2.32332019]
[-177.86051742],[-4.7244332],[-2.63929732]
[-177.32169755],[-3.34642976],[-2.6867321]
[-175.42324882],[-3.58945728],[-3.05142424]
[-175.61240355],[-5.34549773],[-3.20775986]
[-176.00331571],[-1.97983314],[-3.37871518]
[-178.25788229],[-0.97915847],[-3.33633648]
[-178.45335689],[-3.48336289],[-3.38844387]
[-178.52191123],[-2.99038913],[-3.54255339]
[-177.14946594],[-2.55160727],[-3.61730705]
[-177.42843576],[-1.7668406],[-3.66516895]
[-176.89495656],[-1.90377769],[-3.43180587]
[-177.63860161],[-6.30341046],[-4.04445281]
[-177.22887422],[-4.66750654],[-3.69104011]
[-176.02634046],[0.27190781],[-3.32089177]
[-177.79465859],[-3.79772681],[-2.98819728]
[-178.00398015],[-3.02783134],[-3.00637332]
[-178.97785774],[-2.10506053],[-3.08243246]
[-179.18765885],[-1.19503394],[-2.14612475]
[-178.67520869],[1.29880483],[-2.75516443]
[-179.23997411],[-0.64106242],[-2.96091558]
[-176.7282329],[-2.47292244],[-2.00308054]
[-177.90798282],[-4.04631965],[-1.45320594]
[-178.88805789],[-1.34820097],[-0.79781787]
[-179.47770137],[-6.5550159],[-0.24491218]
[-179.75357541],[-8.4503125],[-0.11850787]
[179.73026295],[-8.37264348],[0.17821669]
[177.15106409],[-11.79403702],[0.8792314]
[175.93806804],[-11.70567272],[0.62441307]
[177.27145997],[-13.05759993],[0.39436421]
[176.09979627],[-16.00824021],[0.16124159]
[177.16612292],[-11.82308285],[0.49265675]
[177.33609325],[-13.00184996],[0.10361855]
[177.36966204],[-12.82521963],[0.22242722]
[177.64330049],[-11.73855647],[0.91797503]
[178.78202909],[-10.56087245],[-0.02403564]
[-179.86847169],[-11.97195904],[0.90719323]
[179.10233131],[-10.42203559],[0.6339849]
[-178.87223913],[-9.12599343],[1.28607433]
[-178.61929621],[-8.11194034],[1.97861883]
[-176.5286924],[-8.71294088],[1.89289771]
[-178.10141527],[-4.66092739],[2.41196458]
[-177.17170951],[-5.93575122],[2.47415206]
[-175.38093619],[-4.31754219],[2.66391291]
[-175.60383433],[-6.40411255],[2.14277758]
[-174.19389392],[-3.63154225],[2.07457594]
[-173.79148579],[-2.57785345],[1.88258482]
[-172.10900345],[-4.38453793],[1.49474283]
[-172.24215159],[-4.84790425],[1.86018451]
[-172.53813642],[-0.41169886],[2.57716846]
[-172.76986502],[-1.87412979],[1.83974408]
[-173.21046788],[-3.56618367],[1.59071932]
[-173.94184093],[-6.31442205],[0.64592682]
[-173.99372317],[0.40420225],[1.20145814]
