[174.96607597],[-26.96196288],[-3.68376419]
[174.81383049],[-28.66805055],[-3.63387033]
[175.80220177],[-28.16247762],[-3.62826316]
[175.20873694],[-28.20439125],[-3.84041325]
[176.47584953],[-27.79136687],[-4.28000203]
[176.68026175],[-28.67027622],[-3.57602863]
[178.28760729],[-44.37714204],[175.00088829]
[175.30969647],[-28.16150568],[-3.23628618]
[178.16895102],[-42.49476573],[174.79302643]
[177.86844159],[-45.25944027],[175.02504831]
[174.60320134],[-27.42824415],[-3.4930044]
[177.03249073],[-28.53876741],[-3.85373268]
[175.88402501],[-28.30338894],[-3.49681017]
[177.69332716],[-27.40931532],[-3.15661774]
[177.81853132],[-27.25566331],[-3.60795738]
[176.92858915],[-25.2384738],[-4.04138872]
[177.76958923],[-23.33521241],[-4.22828262]
[176.78125552],[-25.05436109],[-3.93410111]
[175.70611656],[-24.43447797],[-4.52201732]
[177.00602168],[-23.49612206],[-4.01639444]
[176.20615087],[-23.96142444],[-4.27803761]
[176.74178973],[-23.55264089],[-4.63200089]
[176.68140737],[-23.71500355],[-4.66322591]
[175.3066155],[-22.77354853],[-4.81762092]
[175.58911791],[-23.15648772],[-5.13820599]
[174.63765899],[-21.06745635],[-4.25873186]
[174.66753435],[-20.45138628],[-5.49241914]
[175.99525542],[-24.83448196],[-5.16815646]
[177.34756393],[-24.50469109],[-4.77472837]
[175.64812266],[-24.01504881],[-5.78056959]
[176.392341],[-23.90647435],[-5.21911976]
[175.33548282],[-23.43112726],[-4.61127519]
[176.21039591],[-22.11394689],[-5.94673982]
[176.9272104],[-24.53174864],[-5.26156007]
[175.99566517],[-23.55474823],[-5.56926508]
[175.80734309],[-20.59069386],[-6.87057228]
[175.48278693],[-21.2963563],[-5.88757594]
[175.6900643],[-18.6295418],[-6.27604364]
[175.7881012],[-20.78378464],[-6.4197784]
[176.91662212],[-20.91515403],[-6.27818181]
[176.56733143],[-21.66021694],[-5.71183809]
[176.71433489],[-22.43975746],[-5.62076762]
[175.90117188],[-23.02074885],[-5.90225052]
[175.25007654],[-19.40079122],[-5.82496529]
[176.690699],[-21.76837352],[-5.86892848]
[175.08660575],[-20.61691254],[-5.46462392]
[176.69630775],[-22.49504384],[-6.04269071]
[175.81520874],[-21.45073062],[-5.29274661]
[176.2004024],[-21.48657124],[-5.88034013]
[177.59652911],[-23.82642023],[-5.39052119]
[177.03014533],[-23.50395477],[-5.13849803]
[176.8368601],[-22.20962949],[-5.18362719]
[177.5644502],[-25.82676968],[-5.67084387]
[177.88123853],[-25.97027284],[-5.60450369]
[177.29879042],[-24.80161776],[-5.30387993]
[176.71041597],[-22.59968771],[-4.99717108]
[176.66909765],[-25.65934193],[-4.7703516]
[174.95405654],[-21.71587977],[-4.74153557]
[175.31936259],[-17.99369718],[-5.43989674]
[175.63200874],[-18.88399107],[-5.12246443]
[176.66451043],[-21.29157193],[-5.55250327]
[176.81988593],[-21.54585799],[-5.97268936]
[176.99994825],[-20.44033031],[-6.02149198]
[176.78501246],[-22.49111816],[-5.37144657]
[176.73070105],[-18.92786223],[-6.23222897]
[176.82764984],[-20.90194316],[-5.7472747]
[177.33671199],[-20.73833425],[-6.42729295]
[176.74590169],[-21.14820689],[-5.72654623]
[177.44116506],[-18.30428258],[-5.82619251]
[175.60355943],[-18.41837876],[-5.93191643]
[176.06928572],[-20.56825964],[-5.70508028]
[177.42626278],[-20.17837113],[-6.5435292]
[176.9140158],[-19.03442554],[-6.40091646]
