[-175.31965797],[-12.4923993],[-11.3101729]
[-175.58574343],[-9.20002826],[-11.11738341]
[-175.55136302],[-10.46961931],[-11.18572403]
[-173.78516909],[-10.11701625],[-11.81038623]
[-175.31200154],[-10.15747075],[-11.16189123]
[-174.88899887],[-11.81938221],[-11.83300441]
[-173.61731259],[-11.55643331],[-11.43652315]
[-174.06322009],[-10.50051334],[-11.50524458]
[-172.79071459],[-8.50133359],[-11.15311477]
[-174.63237293],[-15.83099893],[-10.5844605]
[-172.98477019],[-15.63850989],[-10.65106068]
[-173.82646298],[-15.51140246],[-10.34850489]
[-171.89348669],[-14.7421636],[-11.58285374]
[-170.85291807],[-16.09479314],[-11.48332077]
[-169.73217289],[-18.00793457],[-11.6463826]
[-167.31804811],[-13.35642594],[-14.42601022]
[-170.53478359],[-9.94702212],[-13.67571824]
[-171.27190955],[-11.60376798],[-13.43073603]
[-171.55624866],[-11.53094125],[-13.51339159]
[-172.17468458],[-10.54460062],[-13.60616748]
[-171.84944048],[-10.65828581],[-15.00402689]
[-172.84010899],[-11.07191288],[-13.89286904]
[-173.95776451],[-10.6088393],[-14.01904989]
[-174.00130748],[-12.51031966],[-13.83021963]
[-173.52808093],[-12.08761303],[-13.53379185]
[-175.17517505],[-10.97404702],[-13.31475648]
[-175.99450703],[-12.4440343],[-13.71076842]
[-175.512494],[-11.51598767],[-14.14309484]
[-178.393289],[-11.95730708],[-14.38246446]
[-176.26127954],[-12.83443937],[-14.29221773]
[-176.86395908],[-12.52707773],[-14.51522374]
[-177.69142641],[-10.28058537],[-14.33162729]
[-176.93412658],[-10.95546383],[-13.68221955]
[-178.19495896],[-11.35507688],[-14.22240697]
[-177.30915405],[-11.2196344],[-14.36120619]
[-178.01492721],[-10.96870173],[-14.61590478]
[-177.67647806],[-10.6140816],[-14.54576594]
[-178.67150441],[-12.15025616],[-14.44736509]
[-177.62473192],[-11.65363879],[-15.40784277]
[-176.47787989],[-12.36294125],[-15.06881172]
[-177.14108483],[-11.36567721],[-15.21887578]
[-175.21272296],[-11.99725678],[-15.3303451]
[-176.19675978],[-11.73702435],[-14.96892664]
[-177.59238327],[-10.3631466],[-15.16908971]
[-177.1164095],[-10.08029451],[-14.97199777]
[-177.14909009],[-11.65664058],[-15.33525781]
[-176.90854253],[-8.59068338],[-15.33786441]
[-177.2828273],[-8.8237185],[-14.78505425]
[-176.62657233],[-8.53621751],[-14.72663799]
[-175.91243848],[-11.50173319],[-16.08997604]
[-177.97428771],[-9.46640444],[-15.95392511]
[-177.81439743],[-9.56105241],[-15.82801405]
[-177.37381556],[-9.23807349],[-15.62574873]
[-175.96274049],[-8.78997461],[-15.88131658]
[-177.37381556],[-9.23807349],[-15.62574873]
[-177.37381556],[-9.23807349],[-15.62574873]
[-176.16981799],[-8.63549111],[-15.9997661]
[-177.34704147],[-7.8918758],[-15.38928793]
[-176.62375274],[-8.07846957],[-15.91896502]
[-175.81437668],[-8.98341905],[-15.88857821]
[-177.05318636],[-8.14159275],[-16.13913774]
[-176.29503914],[-8.41314848],[-15.79547355]
[-177.9707961],[-9.45175188],[-15.90772695]
[-177.8599726],[-10.0947022],[-15.86655042]
[-176.80532106],[-10.11320673],[-15.44141704]
[-175.22273478],[-9.94246945],[-15.71456417]
[-174.44045266],[-8.5377369],[-15.91026664]
[-173.89229688],[-9.09854722],[-15.97536539]
[-172.98453575],[-9.61104967],[-15.85620248]
[-172.90519526],[-11.56398204],[-15.3984303]
[-173.349443],[-9.06398013],[-15.26954636]
[-171.16687523],[-10.90638508],[-15.327885]
[-170.33355273],[-10.94238686],[-15.7601971]
[-171.19164516],[-10.45455656],[-15.39075283]
[-170.28027043],[-9.27633993],[-15.85016991]
[-169.69142438],[-9.29875655],[-15.03538538]
[-170.47730152],[-9.86436258],[-15.04348959]
[-170.68406767],[-7.85141102],[-15.61752003]
[-170.97851227],[-8.44073983],[-15.74618303]
[-170.90551474],[-7.37814396],[-15.74397914]
[-170.17205306],[-10.99450811],[-15.67535332]
[-170.20503972],[-11.43182628],[-15.81604363]
[-167.87616305],[-10.079684],[-16.31489339]
[-169.76185613],[-11.04041243],[-15.68571573]
[-169.76185613],[-11.04041243],[-15.68571573]
[-168.36653322],[-9.83474213],[-15.86517266]
[-168.62666728],[-9.77062488],[-15.61978061]
[-169.66816125],[-8.70374033],[-15.39508233]
[-169.15965394],[-11.19846806],[-15.25087723]
[-169.6606514],[-10.24083014],[-14.8925661]
[-169.31544866],[-9.974251],[-15.43611298]
[-169.13825984],[-9.70353377],[-15.93370083]
[-168.91670659],[-9.03235031],[-15.16952897]
[-168.7859003],[-8.67506357],[-15.58006526]
[-167.57208705],[-9.73448067],[-15.96110456]
[-167.57208705],[-9.73448067],[-15.96110456]
[-167.75271929],[-9.11245769],[-16.07168866]
[-167.88120998],[-8.48394613],[-15.9052735]
[-169.14583286],[-9.30088957],[-16.17261258]
[-168.2445841],[-10.11543599],[-15.94261672]
[-168.39812008],[-8.91336811],[-16.09702277]
[-169.08653545],[-9.25485214],[-16.27168549]
[-168.94759518],[-8.83836136],[-16.30234151]
[-167.91147901],[-8.08952931],[-16.58957189]
[-168.49323075],[-8.20935561],[-16.15290285]
[-167.432872],[-7.11933672],[-16.31656882]
[-167.53082592],[-8.2986213],[-16.51360302]
[-167.91147901],[-8.08952931],[-16.58957189]
[-167.91147901],[-8.08952931],[-16.58957189]
[-167.75656771],[-9.64930524],[-16.3297006]
[-166.45516307],[-7.61281886],[-16.50555355]
[-167.32831433],[-7.75866961],[-16.1906515]
[-168.23294782],[-7.97781076],[-16.3655304]
[-166.87806265],[-7.6911856],[-16.29231199]
[-167.79355383],[-7.88639867],[-15.97052565]
[-167.09317093],[-7.76835351],[-16.29393825]
[-167.89859559],[-10.13088359],[-16.46027731]
[-166.82975983],[-9.55592589],[-15.74511021]
[-167.44599416],[-8.53495918],[-15.95045682]
[-166.7545449],[-10.01176832],[-16.53652177]
[-165.32528287],[-8.7078791],[-16.37140814]
[-166.26485205],[-10.30976445],[-16.45215967]
[-166.81984366],[-9.05165564],[-16.64116337]
[-166.93386633],[-9.34355336],[-16.64219184]
[-167.67363254],[-10.2090842],[-16.19527906]
[-167.85916787],[-9.59778468],[-16.30574614]
[-166.29237653],[-8.68624451],[-16.43200871]
[-164.72708323],[-8.21977274],[-16.12524991]
[-165.7531834],[-8.74862284],[-15.8704916]
[-165.45702089],[-11.33984614],[-15.45979927]
[-163.68912287],[-12.40668638],[-14.27865136]
[-162.59371223],[-11.51573488],[-14.5072296]
[-163.39885954],[-14.99851592],[-12.2776163]
[-163.1861661],[-17.24937225],[-9.43548096]
[-166.74052892],[-20.35549416],[-8.5425133]
[-164.95092047],[-20.16056421],[-8.53439874]
[-164.28165741],[-19.9361208],[-8.98036389]
