[178.68734512],[-20.76514319],[2.33967417]
[177.2656592],[-19.62078311],[2.63400993]
[177.7940257],[-18.94533849],[2.16157481]
[178.04913618],[-24.660104],[1.81045033]
[177.47276365],[-19.10017198],[2.47342298]
[179.45509658],[-22.67675771],[1.90529309]
[178.68734512],[-20.76514319],[2.33967417]
[178.4673996],[-20.48402147],[2.60776245]
[175.73385524],[-23.90645215],[2.78832491]
[174.5117208],[-22.24991799],[3.23900074]
[175.86757124],[-19.92912986],[2.70424726]
[177.32578549],[-18.39627464],[2.43231224]
[177.94105324],[-21.37012156],[2.51540581]
[177.50595051],[-20.89611272],[3.02027613]
[177.62557499],[-19.00705619],[3.11098835]
[177.65859258],[-21.03848468],[2.34019752]
[175.62908092],[-19.01078495],[1.98188082]
[175.7295071],[-21.56352688],[2.83952741]
[177.75355225],[-20.03131039],[2.52365465]
[177.04862231],[-19.36455321],[2.89836856]
[177.04862231],[-19.36455321],[2.89836856]
[177.04862231],[-19.36455321],[2.89836856]
[175.13012584],[-19.84304103],[3.16631342]
[176.60492963],[-20.52863769],[3.12246352]
[177.04862231],[-19.36455321],[2.89836856]
[177.83727837],[-19.28664413],[2.84813691]
[177.04862231],[-19.36455321],[2.89836856]
[177.56773661],[-20.60225717],[2.6201523]
[177.51819725],[-16.806815],[2.01718558]
[176.15842961],[-18.37030493],[3.34447845]
[177.08692146],[-20.29568695],[2.56300803]
[176.68267828],[-21.36820245],[3.76898671]
[176.90138984],[-19.57454768],[2.63788201]
[177.49713798],[-21.18987771],[3.31414555]
[178.57020256],[-20.0195232],[2.52141895]
[175.49675704],[-17.53614108],[3.25833412]
[177.3111179],[-21.50659147],[2.26428685]
